einzelplan,einzelplan-text,einnahmen-ausgaben,einnahmen-ausgaben-art,kapitel,kapitel-text,titel,funktion,titel-text,flex,seite,soll,titelgruppe,tgr-text,Funktion 1,Funktion 2,Funktion 3,Gruppe 1,Gruppe 2,Gruppe 3,date
5,Auswärtiges Amt,Ausgaben,Besondere Finanzierungsausgaben,513,Deutsches Archäologisches Institut,42749,165,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",nein,87,0,4,Durchführung von Aufträgen für Bundesbehörden,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige",2017
5,Auswärtiges Amt,Ausgaben,Besondere Finanzierungsausgaben,513,Deutsches Archäologisches Institut,42941,165,Nicht aufteilbare Personalausgaben,nein,87,0,4,Durchführung von Aufträgen für Bundesbehörden,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Nicht aufteilbare Personalausgaben,2017
5,Auswärtiges Amt,Ausgaben,Besondere Finanzierungsausgaben,513,Deutsches Archäologisches Institut,54441,165,"Forschung, Untersuchungen und Ähnliches",nein,87,0,4,Durchführung von Aufträgen für Bundesbehörden,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Sonstiges,2017
5,Auswärtiges Amt,Ausgaben,Besondere Finanzierungsausgaben,513,Deutsches Archäologisches Institut,54741,165,Nicht aufteilbare sächliche Verwaltungsausgaben,nein,87,0,4,Durchführung von Aufträgen für Bundesbehörden,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Nicht aufteilbare sächliche Verwaltungsausgaben,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42201,165,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,ja,87,5996,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Bezüge und Nebenleistungen der Beamten und Richter,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42202,165,Bezüge und Nebenleistungen der beamteten Hilfskräfte,ja,-,0,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Bezüge und Nebenleistungen der Beamten und Richter,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42709,165,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",ja,88,579,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42801,165,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,ja,88,6754,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42802,165,Entgelte für Wissenschaftlerinnen und Wissenschaftler,ja,88,2954,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,45301,165,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",ja,88,205,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Sonstige personalbezogene Ausgaben,"Trennungsgeld, Umzugskostenvergütungen",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,51101,165,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",ja,88,1073,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,51401,165,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",ja,88,82,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,51701,165,"Bewirtschaftung der Grundstücke, Gebäude und Räume",ja,88,600,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),"Bewirtschaftung der Grundstücke, Gebäude und Räume",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,51801,165,Mieten und Pachten,ja,88,351,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),Mieten und Pachten,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,51901,165,Unterhaltung der Grundstücke und baulichen Anlagen,ja,88,350,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 51),Unterhaltung der Grundstücke und baulichen Anlagen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,52501,165,Aus- und Fortbildung,ja,88,50,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),Aus- und Fortbildung,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,52701,165,Dienstreisen,ja,88,325,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 52),Dienstreisen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,53201,165,Aufträge und Dienstleistungen im Bereich Informationstechnik,ja,88,177,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,53999,165,Vermischte Verwaltungsausgaben,ja,89,135,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,71101,165,"Kleine Neu-﻿, Um- und Erweiterungsbauten",ja,89,0,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Baumaßnahmen,Baumaßnahmen,Baumaßnahmen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,71201,165,Baumaßnahmen von mehr als 2 000 000 € im Einzelfall,ja,89,0,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Baumaßnahmen,Baumaßnahmen,Baumaßnahmen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,73901,165,Baumaßnahmen des Hochbaus im Ausland von mehr als 1 000 000 € im Einzelfall,ja,89,7000,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Baumaßnahmen,Baumaßnahmen,Baumaßnahmen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,81101,165,Erwerb von Fahrzeugen,ja,89,75,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von beweglichen Sachen,Erwerb von Fahrzeugen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,81201,165,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",ja,89,35,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von beweglichen Sachen,Erwerb von Geräten und sonstigen beweglichen Sachen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,81202,165,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",ja,89,80,,,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von beweglichen Sachen,Erwerb von Geräten und sonstigen beweglichen Sachen,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42719,165,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",ja,90,1100,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige",2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42811,165,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,ja,90,0,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,42911,165,Nicht aufteilbare Personalausgaben,ja,90,1848,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Personalausgaben,Bezüge und Nebenleistungen,Nicht aufteilbare Personalausgaben,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,54411,165,"Forschung, Untersuchungen und Ähnliches",ja,90,291,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Sonstiges,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,54711,165,Nicht aufteilbare sächliche Verwaltungsausgaben,ja,90,5544,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 54),Nicht aufteilbare sächliche Verwaltungsausgaben,2017
5,Auswärtiges Amt,Ausgaben,,513,Deutsches Archäologisches Institut,82111,165,Grunderwerb und Ablösung von Rechten für die Durchführung von archäologischen Arbeiten,ja,91,0,1,Wissenschaftliche Unternehmungen und Veröffentlichungen sowie Beihilfen hierfür,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,Erwerb von unbeweglichen Sachen,Grunderwerb,2017
6,Bundesministerium des Innern,Einnahmen ,Verwaltungseinnahmen,601,Gesellschaft und Verfassung,11999,12,Vermischte Einnahmen, ,9,100,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Innere Verwaltung,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",Verwaltungseinnahmen,Sonstige,2017
6,Bundesministerium des Innern,Einnahmen ,Übrige Einnahmen,601,Gesellschaft und Verfassung,27201,11,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen, ,9,0,,,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,Zuschüsse von der EU,Sonstige Zuschüsse von der EU,2017
6,Bundesministerium des Innern,Einnahmen ,Übrige Einnahmen,601,Gesellschaft und Verfassung,38103,890,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381.1 und 381.7, ,9,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,"Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,98103,890,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981.1 und 981.7,nein,9,0,,,Finanzwirtschaft,Haushaltstechnische Verrechnungen,Haushaltstechnische Verrechnungen,Besondere Finanzierungsausgaben,Haushaltstechnische Verrechnungen,Verrechnungen zwischen Kapiteln,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,53212,12,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),nein,10,2000,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Innere Verwaltung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,53214,29,Untersuchungen und Aufklärung über innenpolitische Grundsatzfragen sowie Förderung innenpolitischer Maßnahmen,nein,10,0,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,Allgemeine Dienste,Auswärtige Angelegenheiten,Sonstige auswärtige Angelegenheiten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",Sächliche Verwaltungsausgaben (Obergruppe 53),Sonstiges,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,63213,244,Bundesanteil zur Sicherung und Betreuung der Friedhöfe der ehemaligen jüdischen Gemeinden in der Bundesrepublik Deutschland,nein,10,2923,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",Soziale Leistungen für Folgen von Krieg und politischen Ereignissen,Wiedergutmachung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,Sonstige Zuweisungen an Länder,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68412,165,Zuschuss zu bevölkerungswissenschaftlichen Tagungen,nein,10,8,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",Forschung und experimentelle Entwicklung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen (ohne öffentliche Einrichtungen),2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68510,187,Zuschuss zur Vorbereitung und Durchführung des Jubiläums 500 Jahre Reformation,nein,10,1450,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Sonstige Kulturpflege,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68511,144,"Zuschuss an die Stiftung ""Die Mitarbeit"" sowie an die ""Deutsche Gesellschaft e. V.""",nein,11,770,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.",Förderung für Weiterbildungsteilnehmende,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68512,144,Globalzuschüsse zur gesellschaftspolitischen und demokratischen Bildungsarbeit,nein,11,115959,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten","Förderung für Schülerinnen und Schüler, Studierende, Weiterbildungsteilnehmende und dgl.",Förderung für Weiterbildungsteilnehmende,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68514,187,"Zuschuss für die Förderung der jüdischen Gemeinschaft, der christlich-jüdischen Zusammenarbeit sowie des interreligiösen und interkulturellen Dialogs",nein,12,12468,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Sonstige Kulturpflege,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68516,199,"Zuschuss zur Vorbereitung, Durchführung und Abwicklung von Kirchentagen",nein,13,2000,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Kirchliche Angelegenheiten,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68519,187,Kosten der Deutschen Islamkonferenz sowie Förderung des interreligiösen Dialogs,nein,13,2805,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",Kultur und Religion,Sonstige Kulturpflege,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke an öffentliche Einrichtungen,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68611,11,Förderung von Projekten für demokratische Teilhabe und gegen Extremismus,nein,13,12000,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,Allgemeine Dienste,Politische Führung und zentrale Verwaltung,Politische Führung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Sonstige Zuschüsse für laufende Zwecke im Inland,2017
6,Bundesministerium des Innern,Ausgaben,Besondere Finanzierungsausgaben,601,Gesellschaft und Verfassung,68711,244,Entschädigung an ehemalige Bedienstete jüdischer Gemeinden,nein,14,620,1,Gesellschaftlicher Zusammenhalt einschließlich interreligiöser Dialog,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",Soziale Leistungen für Folgen von Krieg und politischen Ereignissen,Wiedergutmachung,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,Zuschüsse für laufende Zwecke im Ausland (soweit nicht an die EU),2017
