Nr;Gruppe;Bezeichnung;Jahr;Richtung;Status;Betrag
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2012;Einnahmen;Rechnungsergebnis;1019
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2012;Einnahmen;Rechnungsergebnis;0
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2012;Einnahmen;Rechnungsergebnis;1298503
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2012;Einnahmen;Rechnungsergebnis;0
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2012;Einnahmen;Rechnungsergebnis;145990
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2012;Einnahmen;Rechnungsergebnis;20774
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen,Plakattafeln,;2012;Einnahmen;Rechnungsergebnis;1458
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2012;Einnahmen;Rechnungsergebnis;1372674
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2012;Einnahmen;Rechnungsergebnis;4854
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2012;Einnahmen;Rechnungsergebnis;0
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2012;Einnahmen;Rechnungsergebnis;0
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2012;Einnahmen;Rechnungsergebnis;0
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2012;Einnahmen;Rechnungsergebnis;1232
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2012;Einnahmen;Rechnungsergebnis;301414
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2012;Einnahmen;Rechnungsergebnis;22555
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2012;Einnahmen;Rechnungsergebnis;80377
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2012;Einnahmen;Rechnungsergebnis;62414
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2012;Einnahmen;Rechnungsergebnis;48127
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2012;Einnahmen;Rechnungsergebnis;57050
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2012;Einnahmen;Rechnungsergebnis;13980494
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2012;Einnahmen;Rechnungsergebnis;902141
10;Allgemeine Verwaltung;Gemeindeorgane;2012;Ausgaben;Rechnungsergebnis;406382
200;Allgemeine Verwaltung;Hauptverwaltung;2012;Ausgaben;Rechnungsergebnis;183422
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2012;Ausgaben;Rechnungsergebnis;51023
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2012;Ausgaben;Rechnungsergebnis;233977
310;Allgemeine Verwaltung;Stadtkasse;2012;Ausgaben;Rechnungsergebnis;96586
500;Allgemeine Verwaltung;Standesamt;2012;Ausgaben;Rechnungsergebnis;87810
520;Allgemeine Verwaltung;Wahlen;2012;Ausgaben;Rechnungsergebnis;1419
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2012;Ausgaben;Rechnungsergebnis;608459
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2012;Ausgaben;Rechnungsergebnis;99669
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2012;Ausgaben;Rechnungsergebnis;42561
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2012;Ausgaben;Rechnungsergebnis;415888
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2012;Ausgaben;Rechnungsergebnis;100067
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2012;Ausgaben;Rechnungsergebnis;161021
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2012;Ausgaben;Rechnungsergebnis;48656
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2012;Ausgaben;Rechnungsergebnis;119122
2111;Schulen;Goetheschute;2012;Ausgaben;Rechnungsergebnis;163002
2112;Schulen;Hebelschule;2012;Ausgaben;Rechnungsergebnis;222222
2113;Schulen;Uhlandschule;2012;Ausgaben;Rechnungsergebnis;116427
2910;Schulen;Betreuungsangebote an Schulen;2012;Ausgaben;Rechnungsergebnis;136016
2920;Schulen;Hort an der Schule;2012;Ausgaben;Rechnungsergebnis;105426
2950;Schulen;Sonstige schulische Aufgaben;2012;Ausgaben;Rechnungsergebnis;237988
2951;Schulen;Schulsozialarbeit;2012;Ausgaben;Rechnungsergebnis;0
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2012;Ausgaben;Rechnungsergebnis;107884
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2012;Ausgaben;Rechnungsergebnis;3641
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2012;Ausgaben;Rechnungsergebnis;41455
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u . sonstige Kulturpflege;2012;Ausgaben;Rechnungsergebnis;99821
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2012;Ausgaben;Rechnungsergebnis;16631
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2012;Ausgaben;Rechnungsergebnis;0
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2012;Ausgaben;Rechnungsergebnis;12064
3661;Wissenschaft, Forschung und Kulturpflege;Ehemahge Synagoge;2012;Ausgaben;Rechnungsergebnis;17327
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2012;Ausgaben;Rechnungsergebnis;29407
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2012;Ausgaben;Rechnungsergebnis;89414
4310;Soziale Sicherung;Seniorenbetreuung;2012;Ausgaben;Rechnungsergebnis;12627
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2012;Ausgaben;Rechnungsergebnis;35819
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2012;Ausgaben;Rechnungsergebnis;90055
4510;Soziale Sicherung;Jugendarbeit;2012;Ausgaben;Rechnungsergebnis;46908
4600;Soziale Sicherung;Jugendzentrum;2012;Ausgaben;Rechnungsergebnis;137828
4640;Soziale Sicherung;Regenbogenland;2012;Ausgaben;Rechnungsergebnis;1075584
4641;Soziale Sicherung;Kastanienkindergarten;2012;Ausgaben;Rechnungsergebnis;0
4642;Soziale Sicherung;Förderung von Kindergärten;2012;Ausgaben;Rechnungsergebnis;1083859
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2012;Ausgaben;Rechnungsergebnis;0
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2012;Ausgaben;Rechnungsergebnis;1153
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2012;Ausgaben;Rechnungsergebnis;4422
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2012;Ausgaben;Rechnungsergebnis;11750
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2012;Ausgaben;Rechnungsergebnis;241662
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2012;Ausgaben;Rechnungsergebnis;139193
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2012;Ausgaben;Rechnungsergebnis;41352
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2012;Ausgaben;Rechnungsergebnis;146671
5630;Gesundheit, Sport, Erholung;Reithalle;2012;Ausgaben;Rechnungsergebnis;14342
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2012;Ausgaben;Rechnungsergebnis;44735
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2012;Ausgaben;Rechnungsergebnis;839
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2012;Ausgaben;Rechnungsergebnis;319537
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2012;Ausgaben;Rechnungsergebnis;206386
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2012;Ausgaben;Rechnungsergebnis;92099
5910;Gesundheit, Sport, Erholung;Campingplatz;2012;Ausgaben;Rechnungsergebnis;28664
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2012;Ausgaben;Rechnungsergebnis;75476
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2012;Ausgaben;Rechnungsergebnis;1430
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2012;Ausgaben;Rechnungsergebnis;18452
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2012;Ausgaben;Rechnungsergebnis;404820
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2012;Ausgaben;Rechnungsergebnis;96466
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2012;Ausgaben;Rechnungsergebnis;3155
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2012;Ausgaben;Rechnungsergebnis;141280
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2012;Ausgaben;Rechnungsergebnis;15016
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2012;Ausgaben;Rechnungsergebnis;553986
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2012;Ausgaben;Rechnungsergebnis;8365
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2012;Ausgaben;Rechnungsergebnis;104730
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2012;Ausgaben;Rechnungsergebnis;154732
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2012;Ausgaben;Rechnungsergebnis;1341
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2012;Ausgaben;Rechnungsergebnis;16492
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2012;Ausgaben;Rechnungsergebnis;1293197
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2012;Ausgaben;Rechnungsergebnis;5097
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2012;Ausgaben;Rechnungsergebnis;306133
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2012;Ausgaben;Rechnungsergebnis;34098
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen,Plakattafeln,;2012;Ausgaben;Rechnungsergebnis;0
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2012;Ausgaben;Rechnungsergebnis;1372976
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2012;Ausgaben;Rechnungsergebnis;0
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2012;Ausgaben;Rechnungsergebnis;8882
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2012;Ausgaben;Rechnungsergebnis;56578
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2012;Ausgaben;Rechnungsergebnis;31128
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2012;Ausgaben;Rechnungsergebnis;3939
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2012;Ausgaben;Rechnungsergebnis;0
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2012;Ausgaben;Rechnungsergebnis;0
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2012;Ausgaben;Rechnungsergebnis;105330
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2012;Ausgaben;Rechnungsergebnis;98485
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2012;Ausgaben;Rechnungsergebnis;139680
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2012;Ausgaben;Rechnungsergebnis;32336
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2012;Ausgaben;Rechnungsergebnis;6405369
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2012;Ausgaben;Rechnungsergebnis;1897186
100;Allgemeine Verwaltung;Gemeindeorgane;2013;Einnahmen;Rechnungsergebnis;57210
200;Allgemeine Verwaltung;Hauptverwaltung;2013;Einnahmen;Rechnungsergebnis;31537
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2013;Einnahmen;Rechnungsergebnis;0
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2013;Einnahmen;Rechnungsergebnis;152744
310;Allgemeine Verwaltung;Stadtkasse;2013;Einnahmen;Rechnungsergebnis;14700
500;Allgemeine Verwaltung;Standesamt;2013;Einnahmen;Rechnungsergebnis;13082
520;Allgemeine Verwaltung;Wahlen;2013;Einnahmen;Rechnungsergebnis;6701
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2013;Einnahmen;Rechnungsergebnis;9005
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2013;Einnahmen;Rechnungsergebnis;829
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2013;Einnahmen;Rechnungsergebnis;0
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2013;Einnahmen;Rechnungsergebnis;127584
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2013;Einnahmen;Rechnungsergebnis;10123
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2013;Einnahmen;Rechnungsergebnis;65620
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2013;Einnahmen;Rechnungsergebnis;6177
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2013;Einnahmen;Rechnungsergebnis;21970
2111;Schulen;Goetheschute;2013;Einnahmen;Rechnungsergebnis;321
2112;Schulen;Hebelschule;2013;Einnahmen;Rechnungsergebnis;28596
2113;Schulen;Uhlandschule;2013;Einnahmen;Rechnungsergebnis;5643
2910;Schulen;Betreuungsangebote an Schulen;2013;Einnahmen;Rechnungsergebnis;165144
2920;Schulen;Hort an der Schule;2013;Einnahmen;Rechnungsergebnis;62075
2950;Schulen;Sonstige schulische Aufgaben;2013;Einnahmen;Rechnungsergebnis;1600
2951;Schulen;Schulsozialarbeit;2013;Einnahmen;Rechnungsergebnis;5261
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2013;Einnahmen;Rechnungsergebnis;69838
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2013;Einnahmen;Rechnungsergebnis;0
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2013;Einnahmen;Rechnungsergebnis;4800
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2013;Einnahmen;Rechnungsergebnis;11439
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2013;Einnahmen;Rechnungsergebnis;0
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2013;Einnahmen;Rechnungsergebnis;0
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2013;Einnahmen;Rechnungsergebnis;0
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2013;Einnahmen;Rechnungsergebnis;2692
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2013;Einnahmen;Rechnungsergebnis;0
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2013;Einnahmen;Rechnungsergebnis;10800
4310;Soziale Sicherung;Seniorenbetreuung;2013;Einnahmen;Rechnungsergebnis;1790
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2013;Einnahmen;Rechnungsergebnis;21353
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2013;Einnahmen;Rechnungsergebnis;31524
4510;Soziale Sicherung;Jugendarbeit;2013;Einnahmen;Rechnungsergebnis;12138
4600;Soziale Sicherung;Jugendzentrum;2013;Einnahmen;Rechnungsergebnis;10500
4640;Soziale Sicherung;Regenbogenland;2013;Einnahmen;Rechnungsergebnis;238765
4641;Soziale Sicherung;Kastanienkindergarten;2013;Einnahmen;Rechnungsergebnis;0
4642;Soziale Sicherung;Förderung von Kindergärten;2013;Einnahmen;Rechnungsergebnis;947386
4643;Soziale Sicherung;Kinderkrippe Hildastraße;2013;Einnahmen;Rechnungsergebnis;0
4700;Soziale Sicherung;Förderung anderer Träger der Wohlfahrtspflege;2013;Einnahmen;Rechnungsergebnis;0
4980;Soziale Sicherung;Kriegsopferfürsorge und ähnliche Maßnahmen;2013;Einnahmen;Rechnungsergebnis;0
5480;Gesundheit, Sport, Erholung;Sonstige Einrichtungen der Gesundheitspflege (DRK);2013;Einnahmen;Rechnungsergebnis;8938
5510;Gesundheit, Sport, Erholung;Förderung des Sports;2013;Einnahmen;Rechnungsergebnis;21864
5610;Gesundheit, Sport, Erholung;Sporthallen (Hans-Michel-Halle);2013;Einnahmen;Rechnungsergebnis;49084
5611;Gesundheit, Sport, Erholung;Sporthallen (Sporth. an der Schillerschule);2013;Einnahmen;Rechnungsergebnis;36776
5620;Gesundheit, Sport, Erholung;Stadien und Sportplätze;2013;Einnahmen;Rechnungsergebnis;17750
5630;Gesundheit, Sport, Erholung;Reithalle;2013;Einnahmen;Rechnungsergebnis;15153
5640;Gesundheit, Sport, Erholung;Kegelbahnen;2013;Einnahmen;Rechnungsergebnis;47790
5650;Gesundheit, Sport, Erholung;Tennisplätze - TC 65;2013;Einnahmen;Rechnungsergebnis;1437
5710;Gesundheit, Sport, Erholung;Freibad Wiesensee;2013;Einnahmen;Rechnungsergebnis;178769
5820;Gesundheit, Sport, Erholung;Parkanlagen und öffentliche Grünflächen;2013;Einnahmen;Rechnungsergebnis;0
5830;Gesundheit, Sport, Erholung;Öffentliche Kinderspielplätze;2013;Einnahmen;Rechnungsergebnis;0
5910;Gesundheit, Sport, Erholung;Campingplatz;2013;Einnahmen;Rechnungsergebnis;15350
5940;Gesundheit, Sport, Erholung;Erholungsgebiet Wiesensee;2013;Einnahmen;Rechnungsergebnis;75059
5950;Gesundheit, Sport, Erholung;Kleingärtnerwesen;2013;Einnahmen;Rechnungsergebnis;930
5960;Gesundheit, Sport, Erholung;Förster-Braun-Hütte;2013;Einnahmen;Rechnungsergebnis;7731
6000;Bau- und Wohnungswesen, Verkehr;Bauverwaltung;2013;Einnahmen;Rechnungsergebnis;270568
6100;Bau- und Wohnungswesen, Verkehr;Stadtentwicklung;2013;Einnahmen;Rechnungsergebnis;0
6101;Bau- und Wohnungswesen, Verkehr;Stadtplanung;2013;Einnahmen;Rechnungsergebnis;44000
6120;Bau- und Wohnungswesen, Verkehr;Vermessung;2013;Einnahmen;Rechnungsergebnis;2429
6130;Bau- und Wohnungswesen, Verkehr;Untere Baurechtsbehörde;2013;Einnahmen;Rechnungsergebnis;71970
6160;Bau- und Wohnungswesen, Verkehr;Straßenraumgestaltung, Lärmschutzwälle;2013;Einnahmen;Rechnungsergebnis;0
6300;Bau- und Wohnungswesen, Verkehr;Gemeindestraßen;2013;Einnahmen;Rechnungsergebnis;10796
6330;Bau- und Wohnungswesen, Verkehr;Verkehrssicherungsanlagen;2013;Einnahmen;Rechnungsergebnis;0
6700;Bau- und Wohnungswesen, Verkehr;Straßenbeleuchtung;2013;Einnahmen;Rechnungsergebnis;0
6750;Bau- und Wohnungswesen, Verkehr;Straßenreinigung;2013;Einnahmen;Rechnungsergebnis;0
6800;Bau- und Wohnungswesen, Verkehr;Tiefgarage Grabenstraße;2013;Einnahmen;Rechnungsergebnis;1194
6900;Bau- und Wohnungswesen, Verkehr;Wasserläufe, Wasserbau;2013;Einnahmen;Rechnungsergebnis;0
7000;Öffentliche Einrichtungen, Wirtschaftsförderung;Abwasserbeseitigung;2013;Einnahmen;Rechnungsergebnis;1284670
7200;Öffentliche Einrichtungen, Wirtschaftsförderung;Abfallbeseitigung;2013;Einnahmen;Rechnungsergebnis;0
7500;Öffentliche Einrichtungen, Wirtschaftsförderung;Bestattungswesen;2013;Einnahmen;Rechnungsergebnis;160588
7510;Öffentliche Einrichtungen, Wirtschaftsförderung;Jüdischer Friedhof;2013;Einnahmen;Rechnungsergebnis;15544
7630;Öffentliche Einrichtungen, Wirtschaftsförderung;Anschlagsäulen, Plakattafeln, Werbeeinrichtungen;2013;Einnahmen;Rechnungsergebnis;1515
7710;Öffentliche Einrichtungen, Wirtschaftsförderung;Bauhof;2013;Einnahmen;Rechnungsergebnis;1330904
7810;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Landwirtschaft und des Weinbaus;2013;Einnahmen;Rechnungsergebnis;4854
7820;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung der Kleintierzucht;2013;Einnahmen;Rechnungsergebnis;0
7830;Öffentliche Einrichtungen, Wirtschaftsförderung;Wirtschaftswege;2013;Einnahmen;Rechnungsergebnis;0
7900;Öffentliche Einrichtungen, Wirtschaftsförderung;Fremdenverkehr. sonst. Förd. v. Wirtschaft/Verkehr;2013;Einnahmen;Rechnungsergebnis;2939
7920;Öffentliche Einrichtungen, Wirtschaftsförderung;Förderung des öffentlichen Personennahverkehrs;2013;Einnahmen;Rechnungsergebnis;0
8100;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Elektrizitätsversorgung;2013;Einnahmen;Rechnungsergebnis;297512
8130;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Gasversorgung;2013;Einnahmen;Rechnungsergebnis;19561
8550;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Forstwirtschaftliche Unternehmen;2013;Einnahmen;Rechnungsergebnis;99698
8810;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Wohn- und Geschäftsgebäude;2013;Einnahmen;Rechnungsergebnis;80095
8811;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sport-Center, Hüttenfelder Straße;2013;Einnahmen;Rechnungsergebnis;32665
8830;Wirtschaftliche Unternehmen, allgem. Grund- und Sondervermögen;Sonstiges Grundvermögen;2013;Einnahmen;Rechnungsergebnis;78755
9000;Allgemeine Finanzwirtschaft;Steuern, allg. Zuweisungen und allg. Umlagen;2013;Einnahmen;Rechnungsergebnis;15062444
9100;Allgemeine Finanzwirtschaft;Sonstige allgemeine Finanzwirtschaft;2013;Einnahmen;Rechnungsergebnis;890771
100;Allgemeine Verwaltung;Gemeindeorgane;2013;Ausgaben;Rechnungsergebnis;444544
200;Allgemeine Verwaltung;Hauptverwaltung;2013;Ausgaben;Rechnungsergebnis;145822
240;Allgemeine Verwaltung;Öffentlichkeitsarbeit;2013;Ausgaben;Rechnungsergebnis;37665
300;Allgemeine Verwaltung;Finanzverwaltung (Kämmerei, Liegenschaften, Steuern);2013;Ausgaben;Rechnungsergebnis;237873
310;Allgemeine Verwaltung;Stadtkasse;2013;Ausgaben;Rechnungsergebnis;66411
500;Allgemeine Verwaltung;Standesamt;2013;Ausgaben;Rechnungsergebnis;77667
520;Allgemeine Verwaltung;Wahlen;2013;Ausgaben;Rechnungsergebnis;8998
600;Allgemeine Verwaltung;Einrichtungen für die gesamte Verwaltung;2013;Ausgaben;Rechnungsergebnis;713281
610;Allgemeine Verwaltung;Bürokommunikation / Datenbearbeitungsstelle;2013;Ausgaben;Rechnungsergebnis;112192
800;Allgemeine Verwaltung;Einrichtungen für Verwaltungsangehörige;2013;Ausgaben;Rechnungsergebnis;56740
1100;Öffentliche Sicherheit und Ordnung;Öffentliche Ordnung;2013;Ausgaben;Rechnungsergebnis;414150
1110;Öffentliche Sicherheit und Ordnung;Meldewesen/Einwohnerwesen;2013;Ausgaben;Rechnungsergebnis;102360
1140;Öffentliche Sicherheit und Ordnung;Grundbuchamt;2013;Ausgaben;Rechnungsergebnis;160012
1220;Öffentliche Sicherheit und Ordnung;Umweltamt;2013;Ausgaben;Rechnungsergebnis;37873
1310;Öffentliche Sicherheit und Ordnung;Feuerwehr und andere Aufgaben des Brandschutzes;2013;Ausgaben;Rechnungsergebnis;159585
2111;Schulen;Goetheschute;2013;Ausgaben;Rechnungsergebnis;134650
2112;Schulen;Hebelschule;2013;Ausgaben;Rechnungsergebnis;176606
2113;Schulen;Uhlandschule;2013;Ausgaben;Rechnungsergebnis;98811
2910;Schulen;Betreuungsangebote an Schulen;2013;Ausgaben;Rechnungsergebnis;165350
2920;Schulen;Hort an der Schule;2013;Ausgaben;Rechnungsergebnis;97049
2950;Schulen;Sonstige schulische Aufgaben;2013;Ausgaben;Rechnungsergebnis;308990
2951;Schulen;Schulsozialarbeit;2013;Ausgaben;Rechnungsergebnis;36108
3000;Wissenschaft, Forschung und Kulturpflege;Verwaltung kultureller Angelegenheiten;2013;Ausgaben;Rechnungsergebnis;135246
3320;Wissenschaft, Forschung und Kulturpflege;Musikpflege;2013;Ausgaben;Rechnungsergebnis;3256
3330;Wissenschaft, Forschung und Kulturpflege;Musikschulen;2013;Ausgaben;Rechnungsergebnis;50501
3400;Wissenschaft, Forschung und Kulturpflege;Heimat- u. sonstige Kulturpflege;2013;Ausgaben;Rechnungsergebnis;67120
3500;Wissenschaft, Forschung und Kulturpflege;Volkshochschulen;2013;Ausgaben;Rechnungsergebnis;17674
3520;Wissenschaft, Forschung und Kulturpflege;Mediathek;2013;Ausgaben;Rechnungsergebnis;0
3600;Wissenschaft, Forschung und Kulturpflege;Natur- und Landschaftspflege;2013;Ausgaben;Rechnungsergebnis;6639
3661;Wissenschaft, Forschung und Kulturpflege;Ehemalige Synagoge;2013;Ausgaben;Rechnungsergebnis;14503
3700;Wissenschaft, Forschung und Kulturpflege;Kirchliche Angelegenheiten;2013;Ausgaben;Rechnungsergebnis;38880
4000;Soziale Sicherung;Verwaltung der sozialen Angelegenheiten;2013;Ausgaben;Rechnungsergebnis;92774
4310;Soziale Sicherung;Seniorenbetreuung;2013;Ausgaben;Rechnungsergebnis;14990
4350;Soziale Sicherung;Soziale Einrichtungen für Wohnungslose;2013;Ausgaben;Rechnungsergebnis;40037
4360;Soziale Sicherung;Allgemeine Sozialhilfe/Asyl;2013;Ausgaben;Rechnungsergebnis;98065
4510;Soziale Sicherung;Jugendarbeit;2013;Ausgaben;Rechnungsergebnis;44183
4600;Soziale Sicherung;Jugendzentrum;2013;Ausgaben;Rechnungsergebnis;158079
4640;Soziale Sicherung;Regenbogenland;2013;Ausgaben;Rechnungsergebnis;1165762
4641;Soziale Sicherung;Kastanienkindergarten;2013;Ausgaben;Rechnungsergebnis;27
4642;Soziale Sicherung;Förderung von Kindergärten;2013;Ausgaben;Rechnungsergebnis;1467142
