Gruppierung Bezeichnung,Produktbereich,Produktbereich Bezeichnung,Produktgruppe,Produktgruppe Bezeichnung,Haushaltsjahr,Ertrag / Aufwand,Betrag,Haushalt
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.06,Beteiligungsmanagement,2019,Aufwendungen,107000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.06,Beteiligungsmanagement,2020,Aufwendungen,107000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2015,Aufwendungen,3539460.7,Soll
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2016,Aufwendungen,607000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2017,Aufwendungen,607000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2018,Aufwendungen,607000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2019,Aufwendungen,607000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,31,Finanzen,31.08,Abwicklung von Grundstücksgeschäften,2020,Aufwendungen,607000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2015,Aufwendungen,1836221.09,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2016,Aufwendungen,1602000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2017,Aufwendungen,2079000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2018,Aufwendungen,2172000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2019,Aufwendungen,2172000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.01,Personalservice und -controlling,2020,Aufwendungen,1734000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2015,Aufwendungen,1318912.08,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2016,Aufwendungen,1473000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2017,Aufwendungen,3353000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2018,Aufwendungen,3353000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2019,Aufwendungen,3353000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.02,Personalentwicklung,2020,Aufwendungen,3353000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2015,Aufwendungen,279624.55,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2016,Aufwendungen,268000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2017,Aufwendungen,268000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2018,Aufwendungen,268000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2019,Aufwendungen,268000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.05,Arbeitsmedizin und Sicherheitstechnik,2020,Aufwendungen,268000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2015,Aufwendungen,54609.17,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2016,Aufwendungen,80000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2017,Aufwendungen,80000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2018,Aufwendungen,80000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2019,Aufwendungen,80000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.06,Zentrale Personalangelegenheiten,2020,Aufwendungen,80000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2015,Aufwendungen,92827.3,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2016,Aufwendungen,92000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2017,Aufwendungen,92000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2018,Aufwendungen,92000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2019,Aufwendungen,92000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.07,Umsetzung des Gleichberechtigungsgebots,2020,Aufwendungen,92000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2015,Aufwendungen,47842.08,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2016,Aufwendungen,46000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2017,Aufwendungen,46000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2018,Aufwendungen,46000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2019,Aufwendungen,46000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,32,Personal und Organisation,32.08,Personalvertretungen,2020,Aufwendungen,46000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2015,Aufwendungen,680444.05,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2016,Aufwendungen,863000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2017,Aufwendungen,863000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2018,Aufwendungen,863000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2019,Aufwendungen,863000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.01,Prüfung und Beratung,2020,Aufwendungen,863000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2015,Aufwendungen,49981.48,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2016,Aufwendungen,42000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2017,Aufwendungen,42000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2018,Aufwendungen,42000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2019,Aufwendungen,42000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.02,Datenschutz und IT-Sicherheit,2020,Aufwendungen,42000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2015,Aufwendungen,2396505.69,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2016,Aufwendungen,832000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2017,Aufwendungen,918000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2018,Aufwendungen,918000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2019,Aufwendungen,918000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,33,Revision und Recht,33.03,Interne Rechtliche Serviceleistungen,2020,Aufwendungen,918000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2015,Aufwendungen,3852262.08,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2016,Aufwendungen,3267000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2017,Aufwendungen,3267000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2018,Aufwendungen,3267000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2019,Aufwendungen,3267000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.01,Grundstücks- und Gebäudebewirtschaftung,2020,Aufwendungen,3267000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2015,Aufwendungen,19801378.52,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2016,Aufwendungen,18594000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2017,Aufwendungen,20365000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2018,Aufwendungen,24589000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2019,Aufwendungen,25175000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,34,Grundstücks- und Gebäudemanagement,34.04,Grundstücks- und Gebäudemanagement,2020,Aufwendungen,21621000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2015,Aufwendungen,2560271.4,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2016,Aufwendungen,5187000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2017,Aufwendungen,2645000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2018,Aufwendungen,4634000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2019,Aufwendungen,1328000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.01,Zentrale Serviceleistungen,2020,Aufwendungen,1328000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2015,Aufwendungen,12510146.53,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2016,Aufwendungen,11369000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2017,Aufwendungen,12452000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2018,Aufwendungen,12531000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2019,Aufwendungen,12406000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.02,Informations- und Kommunikationstechnologie,2020,Aufwendungen,11885000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2015,Aufwendungen,755280.15,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2016,Aufwendungen,790000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2017,Aufwendungen,688000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2018,Aufwendungen,838000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2019,Aufwendungen,688000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.03,Städtische Kommunikation,2020,Aufwendungen,838000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2015,Aufwendungen,761.54,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2016,Aufwendungen,0.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2017,Aufwendungen,0.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2018,Aufwendungen,0.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2019,Aufwendungen,0.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.04,Personalgestellung Küche,2020,Aufwendungen,0.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2015,Aufwendungen,297271.25,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2016,Aufwendungen,1120000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2017,Aufwendungen,1270000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2018,Aufwendungen,1270000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2019,Aufwendungen,1270000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,35,Zentrale Dienste,35.05,E-Government-Strategie,2020,Aufwendungen,1270000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2015,Aufwendungen,88922.49,Soll
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2016,Aufwendungen,39000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2017,Aufwendungen,139000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2018,Aufwendungen,128000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2019,Aufwendungen,119000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,36,Wirtschaftsförderung,36.01,Wirtschaftsförderung,2020,Aufwendungen,79000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2015,Aufwendungen,3303246.5,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2016,Aufwendungen,3807000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2017,Aufwendungen,2795000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2018,Aufwendungen,2769000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2019,Aufwendungen,2407000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.04,Kirchliche Angelegenheiten,2020,Aufwendungen,2407000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2015,Aufwendungen,913898.19,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2016,Aufwendungen,2207000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2017,Aufwendungen,2207000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2018,Aufwendungen,2207000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2019,Aufwendungen,2207000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.05,Zentrale Finanzleistungen,2020,Aufwendungen,2207000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2015,Aufwendungen,1366241.12,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2016,Aufwendungen,698000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2017,Aufwendungen,1322000.0,Soll
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2018,Aufwendungen,1322000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2019,Aufwendungen,1322000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.09,Unselbständige Stiftungen,2020,Aufwendungen,1322000.0,Plan
Aufwendungen für Sach- und Dienstleistungen,98,Zentrale Finanzwirtschaft,98.1,Kredite und Schuldendienst,2015,Aufwendungen,2180.56,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2015,Aufwendungen,180638.91,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2016,Aufwendungen,237000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2017,Aufwendungen,342000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2018,Aufwendungen,237000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2019,Aufwendungen,237000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.03,Integration und Antidiskriminierung,2020,Aufwendungen,237000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2015,Aufwendungen,1472751.82,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2016,Aufwendungen,1427000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2017,Aufwendungen,1805000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2018,Aufwendungen,1805000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2019,Aufwendungen,1805000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,10,Wahlen,10.04,Gleichberechtigung für Bürgerinnen,2020,Aufwendungen,1805000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2015,Aufwendungen,45467.88,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2016,Aufwendungen,143000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2017,Aufwendungen,643000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2018,Aufwendungen,143000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2019,Aufwendungen,143000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.04,Ordnung und Sicherheit,2020,Aufwendungen,143000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2015,Aufwendungen,699545.96,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2016,Aufwendungen,705000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2017,Aufwendungen,705000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2018,Aufwendungen,705000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2019,Aufwendungen,705000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,11,Ordnung und Sicherheit,11.05,Verkehrssteuerung und -überwachung,2020,Aufwendungen,705000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2015,Aufwendungen,162258.08,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2016,Aufwendungen,138000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2017,Aufwendungen,178000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2018,Aufwendungen,178000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2019,Aufwendungen,178000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.01,Brandschutz,2020,Aufwendungen,178000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2017,Aufwendungen,40000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2018,Aufwendungen,40000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2019,Aufwendungen,40000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,12,Brandschutz und Rettungsdienst,12.03,Rettungsdienst,2020,Aufwendungen,40000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2015,Aufwendungen,1172238.84,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2016,Aufwendungen,794000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2017,Aufwendungen,614000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2018,Aufwendungen,614000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2019,Aufwendungen,614000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,13,Stadtplanung,13.01,Stadtplanung,2020,Aufwendungen,614000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2015,Aufwendungen,0.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.01,Bauaufsicht,2016,Aufwendungen,0.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2015,Aufwendungen,157320.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2016,Aufwendungen,205000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2017,Aufwendungen,205000.0,Soll
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2018,Aufwendungen,205000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2019,Aufwendungen,205000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,15,Bauaufsicht und Denkmalschutz,15.02,Denkmalschutz und -pflege,2020,Aufwendungen,205000.0,Plan
Aufwendungen für Zuweisungen und Zuschüsse sowie besondere Finanzausgaben,16,Nahverkehr und ÖPNV,16.02,Verwendung Stellplatzablöse,2015,Aufwendungen,0.0,Soll
