ID;Jahr;Haushalt Art;Einzelplan (W);Bezeichnung EP (W);Einzelplan|Bezeichnung (F);Gliederung;Bezeichnung Gliederung;Gliederung|Bezeichnung (F);Gruppierung;Bezeichnung;Gruppierung|Bezeichnung (F);Einnahme|Ausgabe;Betrag;Ansatz|Rechnung
3883;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6588;Geschäftsausgaben (Verpflegung);6588 - Geschäftsausgaben (Verpflegung);Ausgabe;300,00;Ansatz
3884;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6610;Mitgliedsbeiträge an Verbände, Vereine und dgl.;6610 - Mitgliedsbeiträge an Verbände, Vereine und dgl.;Ausgabe;0,00;Ansatz
3885;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6620;Vermischte Ausgaben;6620 - Vermischte Ausgaben;Ausgabe;1300,00;Ansatz
3886;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6770;Erstattungen an private Unternehmen;6770 - Erstattungen an private Unternehmen;Ausgabe;6000,00;Ansatz
3887;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6780;Erstattungen an die übrigen Bereiche;6780 - Erstattungen an die übrigen Bereiche;Ausgabe;15000,00;Ansatz
3888;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6790;Innere Verrechnung Gebäudebewirtschaftungskosten Außenanlagen;6790 - Innere Verrechnung Gebäudebewirtschaftungskosten Außenanlagen;Ausgabe;9000,00;Ansatz
3889;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6790;Innere Verrechnung Gebäudebewirtschaftungskosten;6790 - Innere Verrechnung Gebäudebewirtschaftungskosten;Ausgabe;390400,00;Ansatz
3890;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6791;Innere Verrechnung Internetaufwendungen;6791 - Innere Verrechnung Internetaufwendungen;Ausgabe;700,00;Ansatz
3891;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;13400,00;Ansatz
3892;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (sonstige Geräte);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (sonstige Geräte);Ausgabe;0,00;Ansatz
3893;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);Ausgabe;2100,00;Ansatz
3894;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);Ausgabe;3900,00;Ansatz
3895;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);Ausgabe;10400,00;Ansatz
3896;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;7060;Zuschüsse für lfd. Zwecke an die Religionsgem. und Ähnl. sowie deren Einrichtungen;7060 - Zuschüsse für lfd. Zwecke an die Religionsgem. und Ähnl. sowie deren Einrichtungen;Ausgabe;1600,00;Ansatz
3897;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;7092;Zuschüsse für lfd. Zwecke an Jugendverbände und Ähnl. sowie deren Einricht.;7092 - Zuschüsse für lfd. Zwecke an Jugendverbände und Ähnl. sowie deren Einricht.;Ausgabe;60800,00;Ansatz
3898;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;9350;Neuanschaffung von bewegl. Sachen des Anlagevermögens;9350 - Neuanschaffung von bewegl. Sachen des Anlagevermögens;Ausgabe;7600,00;Ansatz
3899;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;9351;Ersatzbeschaffungen f. bewegl. Sachen des Anlagevermögens;9351 - Ersatzbeschaffungen f. bewegl. Sachen des Anlagevermögens;Ausgabe;0,00;Ansatz
3900;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;9410;Einrichtungen der Jugendarbeit Ottostr. 27|Theresienstr. 9 - Zusammenlegung;9410 - Einrichtungen der Jugendarbeit Ottostr. 27|Theresienstr. 9 - Zusammenlegung;Ausgabe;0,00;Ansatz
3901;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;9411;Jugendzentrum ELAN Rauchschutztürelement;9411 - Jugendzentrum ELAN Rauchschutztürelement;Ausgabe;0,00;Ansatz
3902;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4600;Einrichtungen der Jugendarbeit;4600 - Einrichtungen der Jugendarbeit;9420;Sanierung und Ausbau d.Jugend- bildungs- und Kulturzentrums Lindenhain, Kapellenstr. 47;9420 - Sanierung und Ausbau d.Jugend- bildungs- und Kulturzentrums Lindenhain, Kapellenstr. 47;Ausgabe;0,00;Ansatz
3903;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;3680;Spende für Spielplatz;3680 - Spende für Spielplatz;Einnahme;0,00;Ansatz
3904;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5110;Unterhalt des sonstigen unbeweglichen Eigenvermögens (Einfriedungen);5110 - Unterhalt des sonstigen unbeweglichen Eigenvermögens (Einfriedungen);Ausgabe;5000,00;Ansatz
3905;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5130;Unterhalt von Straßen, Wegen und Ähnl.;5130 - Unterhalt von Straßen, Wegen und Ähnl.;Ausgabe;12000,00;Ansatz
3906;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5163;Unterhalt: Spiel-, Bolzplätze;5163 - Unterhalt: Spiel-, Bolzplätze;Ausgabe;82000,00;Ansatz
3907;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5253;Technische Geräte und Apparate Instandhaltung (durch GrfA);5253 - Technische Geräte und Apparate Instandhaltung (durch GrfA);Ausgabe;3000,00;Ansatz
3908;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5280;Sonstige Gebrauchsgegenstände;5280 - Sonstige Gebrauchsgegenstände;Ausgabe;3500,00;Ansatz
3909;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5320;Mieten für Maschinen, Fahrzeuge, Geräte;5320 - Mieten für Maschinen, Fahrzeuge, Geräte;Ausgabe;4000,00;Ansatz
3910;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;5410;Haus-, Grundstückslasten (Kinderspielplätze);5410 - Haus-, Grundstückslasten (Kinderspielplätze);Ausgabe;10000,00;Ansatz
3911;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;6368;Wertstoffsammlung durch Privatunternehmen;6368 - Wertstoffsammlung durch Privatunternehmen;Ausgabe;6000,00;Ansatz
3912;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;6790;Innere Verrechnung Kinderspielplätze;6790 - Innere Verrechnung Kinderspielplätze;Ausgabe;520000,00;Ansatz
3913;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;1100,00;Ansatz
3914;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;9500;Kinderspielplatz Stadeln -Hartmut-Träger-Straße;9500 - Kinderspielplatz Stadeln -Hartmut-Träger-Straße;Ausgabe;32000,00;Ansatz
3915;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;9501;Kinderspielplätze im Stadtgebiet;9501 - Kinderspielplätze im Stadtgebiet;Ausgabe;100000,00;Ansatz
3916;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;9506;Spielplatz Adlerstraße Erweiterung;9506 - Spielplatz Adlerstraße Erweiterung;Ausgabe;50000,00;Ansatz
3917;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;9508;Kinderspielplatz Tulpenweg;9508 - Kinderspielplatz Tulpenweg;Ausgabe;0,00;Ansatz
3918;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4605;Öffentliche Kinderspielplätze;4605 - Öffentliche Kinderspielplätze;9509;Kinderspielplatz Burgfarrnbach Alte B8;9509 - Kinderspielplatz Burgfarrnbach Alte B8;Ausgabe;0,00;Ansatz
3919;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;1710;Zuweisungen für lfd. Zwecke vom Land;1710 - Zuweisungen für lfd. Zwecke vom Land;Einnahme;103000,00;Ansatz
3920;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;1720;Zuweisungen für lfd. Zwecke von Gemeinden und Gemeinde- verbänden;1720 - Zuweisungen für lfd. Zwecke von Gemeinden und Gemeinde- verbänden;Einnahme;40000,00;Ansatz
3921;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;4140;Entgelte für tariflich Beschäftigte;4140 - Entgelte für tariflich Beschäftigte;Ausgabe;153900,00;Ansatz
3922;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;4340;Beiträge zu Versorgungskassen Tariflich Beschäftigte;4340 - Beiträge zu Versorgungskassen Tariflich Beschäftigte;Ausgabe;11900,00;Ansatz
3923;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;4440;Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;4440 - Beiträge zur gesetzlichen Sozialversicherung Tariflich Beschäftigte;Ausgabe;30500,00;Ansatz
3924;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;4690;Personalnebenausgaben ZVK-Pauschalsteuer;4690 - Personalnebenausgaben ZVK-Pauschalsteuer;Ausgabe;700,00;Ansatz
3925;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;5200;Verwaltungs- und Zweckaus- stattung;5200 - Verwaltungs- und Zweckaus- stattung;Ausgabe;200,00;Ansatz
3926;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;5280;Sonstige Gebrauchsgegenstände;5280 - Sonstige Gebrauchsgegenstände;Ausgabe;400,00;Ansatz
3927;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;5310;Miete für Gebäude und Grundstücke;5310 - Miete für Gebäude und Grundstücke;Ausgabe;6700,00;Ansatz
3928;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;5622;Fortbildung und Umschulung;5622 - Fortbildung und Umschulung;Ausgabe;400,00;Ansatz
3929;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;5622;Fortbildung und Umschulung (Umschulung, Supervision);5622 - Fortbildung und Umschulung (Umschulung, Supervision);Ausgabe;1800,00;Ansatz
3930;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6370;Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);6370 - Sachbedarf für EDV-Anlagen (Betrieb Multifunktionsgeräte);Ausgabe;200,00;Ansatz
3931;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6500;Allgemeiner Bürobedarf;6500 - Allgemeiner Bürobedarf;Ausgabe;100,00;Ansatz
3932;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6510;Bücher und Zeitschriften;6510 - Bücher und Zeitschriften;Ausgabe;100,00;Ansatz
3933;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6531;Öffentliche Bekanntmachungen, Amtsblatt;6531 - Öffentliche Bekanntmachungen, Amtsblatt;Ausgabe;500,00;Ansatz
3934;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6541;Reise- und Fahrtkosten;6541 - Reise- und Fahrtkosten;Ausgabe;300,00;Ansatz
3935;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6589;Sonstige Geschäftsausgaben;6589 - Sonstige Geschäftsausgaben;Ausgabe;600,00;Ansatz
3936;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6710;Erstattungen an das Land;6710 - Erstattungen an das Land;Ausgabe;2000,00;Ansatz
3937;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6721;Erstattungen an Gemeinden und Gemeindeverbände;6721 - Erstattungen an Gemeinden und Gemeindeverbände;Ausgabe;14300,00;Ansatz
3938;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6770;Erstattungen an private Unternehmen;6770 - Erstattungen an private Unternehmen;Ausgabe;13700,00;Ansatz
3939;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6790;Innere Verrechnung Telefonbucheintrag;6790 - Innere Verrechnung Telefonbucheintrag;Ausgabe;700,00;Ansatz
3940;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6798;Innere Verrechnung innerstädt. Leistungen;6798 - Innere Verrechnung innerstädt. Leistungen;Ausgabe;0,00;Ansatz
3941;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6799;Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);6799 - Innere Verrechnung ITK-Leistungen (Miete Kopierer|Multifunktionsgeräte);Ausgabe;0,00;Ansatz
3942;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (TK-Management);Ausgabe;4000,00;Ansatz
3943;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Netzbetrieb);Ausgabe;4200,00;Ansatz
3944;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4634;Schwangerenberatung;4634 - Schwangerenberatung;6799;Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);6799 - Innere Verrechnung ITK-Leistungen KommunalBIT (Arbeitsplatzsysteme);Ausgabe;9200,00;Ansatz
3945;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1194;Gebühren und Entgelte für Kindergärten, Heime und Horte (4541.7714.1234);1194 - Gebühren und Entgelte für Kindergärten, Heime und Horte (4541.7714.1234);Einnahme;38500,00;Ansatz
3946;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1194;Gebühren und Entgelte für Kindergärten, Heime und Horte (Spielgeld);1194 - Gebühren und Entgelte für Kindergärten, Heime und Horte (Spielgeld);Einnahme;68600,00;Ansatz
3947;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1194;Gebühren und Entgelte für Kindergärten, Heime und Horte (4541.7714.1000);1194 - Gebühren und Entgelte für Kindergärten, Heime und Horte (4541.7714.1000);Einnahme;274000,00;Ansatz
3948;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1194;Gebühren und Entgelte für Kindergärten, Heime und Horte (städt. Kindergärten);1194 - Gebühren und Entgelte für Kindergärten, Heime und Horte (städt. Kindergärten);Einnahme;1047000,00;Ansatz
3949;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1303;Verpflegung als Sachbezug (Verpflegung - ohne Mahnung);1303 - Verpflegung als Sachbezug (Verpflegung - ohne Mahnung);Einnahme;70000,00;Ansatz
3950;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1303;Verpflegung als Sachbezug (Verpflegung);1303 - Verpflegung als Sachbezug (Verpflegung);Einnahme;400000,00;Ansatz
3951;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1390;Einnahmen aus Verkauf;1390 - Einnahmen aus Verkauf;Einnahme;0,00;Ansatz
3952;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1599;Vermischte Einnahmen;1599 - Vermischte Einnahmen;Einnahme;1000,00;Ansatz
3953;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1601;Erstattungen des Bundes (Personalkosten);1601 - Erstattungen des Bundes (Personalkosten);Einnahme;0,00;Ansatz
3954;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1621;Erstattungen durch Gemeinden und Gemeindeverbände;1621 - Erstattungen durch Gemeinden und Gemeindeverbände;Einnahme;0,00;Ansatz
3955;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1629;Sonstige Erstattungen durch Gemeinden und Gemeindeverbände (Küchenkräfte);1629 - Sonstige Erstattungen durch Gemeinden und Gemeindeverbände (Küchenkräfte);Einnahme;118000,00;Ansatz
3956;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1653;Erstattungen von kommunalen Krankenhäusern (Sachkosten KIG X);1653 - Erstattungen von kommunalen Krankenhäusern (Sachkosten KIG X);Einnahme;0,00;Ansatz
3957;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1653;Erstattungen von kommunalen Krankenhäusern (Personalkosten);1653 - Erstattungen von kommunalen Krankenhäusern (Personalkosten);Einnahme;50000,00;Ansatz
3958;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1670;Erstattungen durch private Unternehmen;1670 - Erstattungen durch private Unternehmen;Einnahme;20000,00;Ansatz
3959;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1670;Erstattungen durch private Unternehmen (Personalkosten);1670 - Erstattungen durch private Unternehmen (Personalkosten);Einnahme;80000,00;Ansatz
3960;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1710;Zuweisungen für lfd. Zwecke vom Land (Flüchtlinge);1710 - Zuweisungen für lfd. Zwecke vom Land (Flüchtlinge);Einnahme;0,00;Ansatz
3961;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1710;Zuweisungen für lfd. Zwecke vom Land (heilpäd. Behandlung in KIG);1710 - Zuweisungen für lfd. Zwecke vom Land (heilpäd. Behandlung in KIG);Einnahme;0,00;Ansatz
3962;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1710;Zuweisungen für lfd. Zwecke vom Land (städt. Kindergärten);1710 - Zuweisungen für lfd. Zwecke vom Land (städt. Kindergärten);Einnahme;2712300,00;Ansatz
3963;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1720;Zuweisungen für lfd. Zwecke von Gemeinden und Gemeinde- verbänden;1720 - Zuweisungen für lfd. Zwecke von Gemeinden und Gemeinde- verbänden;Einnahme;16900,00;Ansatz
3964;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1740;Zuweisungen für lfd. Zwecke vom sonstigen öffentlichen Bereich (Personalkosten);1740 - Zuweisungen für lfd. Zwecke vom sonstigen öffentlichen Bereich (Personalkosten);Einnahme;124200,00;Ansatz
3965;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;1783;Spenden;1783 - Spenden;Einnahme;500,00;Ansatz
3966;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;2971;Projektmittelübertrag;2971 - Projektmittelübertrag;Einnahme;0,00;Ansatz
3967;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;3450;Einnahmen aus der Veräußerung von beweglichen Sachen;3450 - Einnahmen aus der Veräußerung von beweglichen Sachen;Einnahme;0,00;Ansatz
3968;2018;Vermögen;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;3610;Zuweisung KIGA Weiherhofer Str;3610 - Zuweisung KIGA Weiherhofer Str;Einnahme;50000,00;Ansatz
3969;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;4100;Beamtenbezüge;4100 - Beamtenbezüge;Ausgabe;94500,00;Ansatz
3970;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;4110;Zuführungen zur Versorgungsrücklage Beamte;4110 - Zuführungen zur Versorgungsrücklage Beamte;Ausgabe;500,00;Ansatz
3971;2018;Verwaltung;4;Soziale Sicherung;4 - Soziale Sicherung;4640;Kindergärten (Stadt) einschl. Schulkindergärten;4640 - Kindergärten (Stadt) einschl. Schulkindergärten;4140;Entgelte für tariflich Beschäftigte (Küchenpersonal);4140 - Entgelte für tariflich Beschäftigte (Küchenpersonal);Ausgabe;262500,00;Ansatz
