Identifikation;Fachbereich;Produkt;Konto;Haushaltsjahr;Budgetrichtung;Ansatz
285;Bürgerservice;Sicherheit und Ordnung;Kostenerstattungen an den privaten Bereich;2018;Aufwand;10600
286;Bürgerservice;Sicherheit und Ordnung;Sonstige Aufwendungen;2018;Aufwand;14000
287;Bürgerservice;Sicherheit und Ordnung;Dienstbezüge;2018;Aufwand;20300
288;Bürgerservice;Sicherheit und Ordnung;Soziale Sicherung (Obdachloseneinweisung);2018;Aufwand;32000
289;Bürgerservice;Sicherheit und Ordnung;Vergütungen;2018;Aufwand;47700
290;Bürgerservice;Sonstige Hilfen in anderen Lebenslagen;Leistungen von Sozialleistungsträgern;2018;Ertrag;15000
291;Bürgerservice;Sonstige Hilfen in anderen Lebenslagen;Leistungen außerhalb von Einrichtungen;2018;Aufwand;10000
292;Bürgerservice;Sonstige soziale Hilfen und Leistungen;Pauschalierte Lohnsteuer;2018;Aufwand;50
293;Bürgerservice;Sonstige soziale Hilfen und Leistungen;Leistzungszulage;2018;Aufwand;400
294;Bürgerservice;Sonstige soziale Hilfen und Leistungen;Versorgungskasse Arbeitnehmer;2018;Aufwand;1500
295;Bürgerservice;Sonstige soziale Hilfen und Leistungen;Sozialversicherung Arbeitnehmer;2018;Aufwand;3900
296;Bürgerservice;Sonstige soziale Hilfen und Leistungen;Vergütungen;2018;Aufwand;19500
297;Bürgerservice;Standesamt, Einwohnermeldeamt;Ordnungsrechtliche Erträge;2018;Ertrag;100
298;Bürgerservice;Standesamt, Einwohnermeldeamt;Kostenerstattungen vom privaten Bereich;2018;Ertrag;500
299;Bürgerservice;Standesamt, Einwohnermeldeamt;Verwaltungsgebühren allgemein;2018;Ertrag;1000
300;Bürgerservice;Standesamt, Einwohnermeldeamt;Sonstige laufende Erträge;2018;Ertrag;4000
301;Bürgerservice;Standesamt, Einwohnermeldeamt;Verwaltungsgebühren allgemein;2018;Ertrag;7000
302;Bürgerservice;Standesamt, Einwohnermeldeamt;Verwaltungsgebühren Standesamt;2018;Ertrag;13000
303;Bürgerservice;Standesamt, Einwohnermeldeamt;Erträge Passgebühren;2018;Ertrag;60000
304;Bürgerservice;Standesamt, Einwohnermeldeamt;Geringwertige Wirtschaftsgüter;2018;Aufwand;300
305;Bürgerservice;Standesamt, Einwohnermeldeamt;Pauschalierte Lohnsteuer;2018;Aufwand;300
306;Bürgerservice;Standesamt, Einwohnermeldeamt;Abschreibungen auf BGA;2018;Aufwand;510
307;Bürgerservice;Standesamt, Einwohnermeldeamt;Fachliteratur, Zeitschriften;2018;Aufwand;700
308;Bürgerservice;Standesamt, Einwohnermeldeamt;Beihilfen;2018;Aufwand;2000
309;Bürgerservice;Standesamt, Einwohnermeldeamt;Leistungszulagen;2018;Aufwand;2400
310;Bürgerservice;Standesamt, Einwohnermeldeamt;Sonstige Aufwendungen;2018;Aufwand;3000
311;Bürgerservice;Standesamt, Einwohnermeldeamt;Zuf. Beihilferückstellungen;2018;Aufwand;3800
312;Bürgerservice;Standesamt, Einwohnermeldeamt;Versorgungskasse Beamte;2018;Aufwand;6800
313;Bürgerservice;Standesamt, Einwohnermeldeamt;Versorgungskasse Arbeitnehmer;2018;Aufwand;9100
314;Bürgerservice;Standesamt, Einwohnermeldeamt;Unterhaltung Software;2018;Aufwand;11000
315;Bürgerservice;Standesamt, Einwohnermeldeamt;Zuf. Pensionsrückstellungen;2018;Aufwand;18500
316;Bürgerservice;Standesamt, Einwohnermeldeamt;Datenverarbeitung, laufende Lizenzaufwendungen;2018;Aufwand;21100
317;Bürgerservice;Standesamt, Einwohnermeldeamt;Sozialversicherung Arbeitnehmer;2018;Aufwand;23500
318;Bürgerservice;Standesamt, Einwohnermeldeamt;Dienstbezüge;2018;Aufwand;37100
319;Bürgerservice;Standesamt, Einwohnermeldeamt;Personalausweise und Reisepässe;2018;Aufwand;57000
320;Bürgerservice;Standesamt, Einwohnermeldeamt;Vergütungen;2018;Aufwand;118000
321;Bürgerservice;Tageseinrichtungen für Kinder;Sonstige laufende Erträge;2018;Ertrag;3500
322;Bürgerservice;Tageseinrichtungen für Kinder;Pauschalierte Lohnsteuer;2018;Aufwand;250
323;Bürgerservice;Tageseinrichtungen für Kinder;Leistungszulagen;2018;Aufwand;1100
324;Bürgerservice;Tageseinrichtungen für Kinder;Geschäftsaufwendungen;2018;Aufwand;3500
325;Bürgerservice;Tageseinrichtungen für Kinder;Versorgungskasse Arbeitnehmer;2018;Aufwand;4000
326;Bürgerservice;Tageseinrichtungen für Kinder;Sozialversicherung Arbeitnehmer;2018;Aufwand;10000
327;Bürgerservice;Tageseinrichtungen für Kinder;Vergütungen;2018;Aufwand;52000
328;Bürgerservice;Tourismusförderung;Sonstige Erträge;2018;Ertrag;2500
329;Bürgerservice;Tourismusförderung;Bewirtschaftung der Grundstücke und Gebäude;2018;Aufwand;100
330;Bürgerservice;Tourismusförderung;Fachliteratur, Zeitschriften;2018;Aufwand;200
331;Bürgerservice;Tourismusförderung;Pauschalierte Lohnsteuer;2018;Aufwand;250
332;Bürgerservice;Tourismusförderung;Geringwertige Wirtschaftsgüter;2018;Aufwand;1000
333;Bürgerservice;Tourismusförderung;Telefon, Datenübertragung;2018;Aufwand;1000
334;Bürgerservice;Tourismusförderung;Abschreibungen auf BGA;2018;Aufwand;1200
335;Bürgerservice;Tourismusförderung;Leistungszulagen;2018;Aufwand;1200
336;Bürgerservice;Tourismusförderung;Versorgungskasse Arbeitnehmer;2018;Aufwand;4600
337;Bürgerservice;Tourismusförderung;Beiträge zu Wirtschaftsverbänden;2018;Aufwand;7500
338;Bürgerservice;Tourismusförderung;Sozialversicherung Arbeitnehmer;2018;Aufwand;11500
339;Bürgerservice;Tourismusförderung;Geschäftsaufwendungen;2018;Aufwand;35000
340;Bürgerservice;Tourismusförderung;Öffentlichkeitsarbeit;2018;Aufwand;35000
341;Bürgerservice;Tourismusförderung;Vergütungen;2018;Aufwand;58000
342;Bürgerservice;Verkehrslenkung u. -regelung;Gebühren für die Erteilung von Bescheiden;2018;Ertrag;200
343;Bürgerservice;Verkehrslenkung u. -regelung;Verwaltungsgebühren;2018;Ertrag;7000
344;Bürgerservice;Verkehrslenkung u. -regelung;Unterhaltung BGA;2018;Aufwand;100
345;Bürgerservice;Verkehrslenkung u. -regelung;Pauschalierte Lohnsteuer;2018;Aufwand;120
346;Bürgerservice;Verkehrslenkung u. -regelung;Fachliteratur, Zeitschriften;2018;Aufwand;200
347;Bürgerservice;Verkehrslenkung u. -regelung;Leistungszulagen;2018;Aufwand;850
348;Bürgerservice;Verkehrslenkung u. -regelung;Abschreibungen auf BGA;2018;Aufwand;1100
349;Bürgerservice;Verkehrslenkung u. -regelung;Sonstige Aufwendungen;2018;Aufwand;2000
350;Bürgerservice;Verkehrslenkung u. -regelung;Versorgungskasse Arbeitnehmer;2018;Aufwand;3100
351;Bürgerservice;Verkehrslenkung u. -regelung;Sozialversicherung Arbeitnehmer;2018;Aufwand;8000
352;Bürgerservice;Verkehrslenkung u. -regelung;Vergütungen;2018;Aufwand;40200
353;Bürgerservice;Zentrale Bußgeldstelle;Ordnungsrechtliche Erträge;2018;Ertrag;1000
354;Bürgerservice;Zentrale Bußgeldstelle;Ordnungsrechtliche Erträge (Postbank);2018;Ertrag;25500
355;Bürgerservice;Zentrale Bußgeldstelle;Pauschalierte Lohnsteuer;2018;Aufwand;120
356;Bürgerservice;Zentrale Bußgeldstelle;Leistungszulagen;2018;Aufwand;150
357;Bürgerservice;Zentrale Bußgeldstelle;Büromaterial;2018;Aufwand;200
358;Bürgerservice;Zentrale Bußgeldstelle;Versorgungskasse Arbeitnehmer;2018;Aufwand;550
359;Bürgerservice;Zentrale Bußgeldstelle;Sozialversicherung Arbeitnehmer;2018;Aufwand;1350
360;Bürgerservice;Zentrale Bußgeldstelle;Dienst- und Schutzkleidung;2018;Aufwand;2000
361;Bürgerservice;Zentrale Bußgeldstelle;Telefon, Datenübertragung;2018;Aufwand;2000
362;Bürgerservice;Zentrale Bußgeldstelle;Sonstige Geschäftsaufwendungen;2018;Aufwand;3000
363;Bürgerservice;Zentrale Bußgeldstelle;Reisekosten;2018;Aufwand;6000
364;Bürgerservice;Zentrale Bußgeldstelle;Vergütungen;2018;Aufwand;7000
365;Finanzen;Finanzen;Kostenerstattungen von Zweckverbänden;2018;Ertrag;900
366;Finanzen;Finanzen;Auflösung von Rückstellungen;2018;Ertrag;6200
367;Finanzen;Finanzen;Kostenerstattungen von Eigenbetrieben;2018;Ertrag;125500
368;Finanzen;Finanzen;Pauschalierte Lohnsteuer;2018;Aufwand;1150
369;Finanzen;Finanzen;Verwaltungsgebühren;2018;Aufwand;2500
370;Finanzen;Finanzen;Leistungszulagen;2018;Aufwand;5500
371;Finanzen;Finanzen;Zuf. Beihilferückstellungen;2018;Aufwand;5500
372;Finanzen;Finanzen;Bankgebühren;2018;Aufwand;6500
373;Finanzen;Finanzen;Beihilfen;2018;Aufwand;10000
374;Finanzen;Finanzen;Versorgungskasse Beamte;2018;Aufwand;18000
375;Finanzen;Finanzen;Versorgungskasse Arbeitnehmer;2018;Aufwand;21100
376;Finanzen;Finanzen;Zuf. Pensionsrückstellungen;2018;Aufwand;26600
377;Finanzen;Finanzen;Sozialversicherung Arbeitnehmer;2018;Aufwand;52100
378;Finanzen;Finanzen;Versorgungsaufwendungen Beamte;2018;Aufwand;63500
379;Finanzen;Finanzen;Dienstbezüge;2018;Aufwand;92000
380;Finanzen;Finanzen;Vergütungen;2018;Aufwand;274000
381;Finanzen;Sonstige allgemeineFinanzdienstleistung;Haben-Zinsen aus allgemeinem Kassenbestand;2018;Ertrag;1000
382;Finanzen;Sonstige allgemeineFinanzdienstleistung;Zinsen aus Rücklagen;2018;Ertrag;1000
383;Finanzen;Sonstige allgemeineFinanzdienstleistung;Säumniszuschläge, Mahngebühren;2018;Ertrag;30000
384;Finanzen;Sonstige allgemeineFinanzdienstleistung;Säumniszuschläge;2018;Aufwand;100
385;Finanzen;Sonstige allgemeineFinanzdienstleistung;Soll-Zinsen des allgemeinen Kassenbestand;2018;Aufwand;500
386;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Investitionsschlüsselzuweisung;2018;Ertrag;55200
387;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Schlüsselzuweisung B 1;2018;Ertrag;145700
388;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Vergnügungssteuer;2018;Ertrag;205000
389;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Schlüsselzuweisung B 2;2018;Ertrag;918000
390;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Verbandsgemeindeumlage;2018;Ertrag;5887000
391;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Umlage Fonds Deutsche Einheit;2018;Aufwand;69000
392;Finanzen;Steuern, allgemeine Zuweisungen, Umlagen;Kreisumlage;2018;Aufwand;298350
393;Finanzen;Zahlungsabwicklung;Kostenerstattungen von Anstalten;2018;Ertrag;2500
394;Finanzen;Zahlungsabwicklung;Kostenerstattungen von Eigenbetrieben;2018;Ertrag;5000
395;Finanzen;Zahlungsabwicklung;Auflösung von Rückstellungen;2018;Ertrag;6500
396;Finanzen;Zahlungsabwicklung;Dienstbezüge;2018;Ertrag;33200
397;Finanzen;Zahlungsabwicklung;Beihilferückstellungen;2018;Aufwand;1100
398;Finanzen;Zahlungsabwicklung;Pauschalierte Lohnsteuer;2018;Aufwand;200
399;Finanzen;Zahlungsabwicklung;Leistungszulagen;2018;Aufwand;1900
400;Finanzen;Zahlungsabwicklung;Pensionsrückstellungen;2018;Aufwand;4100
401;Finanzen;Zahlungsabwicklung;Beihilfen;2018;Aufwand;5000
402;Finanzen;Zahlungsabwicklung;Versorgungskasse Arbeitnehmer;2018;Aufwand;7300
403;Finanzen;Zahlungsabwicklung;Versorgungskasse Beamte;2018;Aufwand;7800
404;Finanzen;Zahlungsabwicklung;Sozialversicherung Arbeitnehmer;2018;Aufwand;18600
405;Finanzen;Zahlungsabwicklung;Versorgungsaufwendungen Beamte;2018;Aufwand;31600
406;Finanzen;Zahlungsabwicklung;Vergütungen;2018;Aufwand;94000
407;Planen und Bauen;Baurechtliche Verfahren;Auflösung von Rückstellungen;2018;Ertrag;210
408;Planen und Bauen;Baurechtliche Verfahren;Gebühren für die Bauüberwachung;2018;Ertrag;8000
409;Planen und Bauen;Baurechtliche Verfahren;Pauschalierte Lohnsteuer;2018;Aufwand;200
410;Planen und Bauen;Baurechtliche Verfahren;Zuf. Beihilferückstellungen;2018;Aufwand;200
411;Planen und Bauen;Baurechtliche Verfahren;Beihilfen;2018;Aufwand;500
412;Planen und Bauen;Baurechtliche Verfahren;Versorgungskasse Beamte;2018;Aufwand;500
413;Planen und Bauen;Baurechtliche Verfahren;Leistungszulagen;2018;Aufwand;1000
414;Planen und Bauen;Baurechtliche Verfahren;Zuf. Pensionsrückstellungen;2018;Aufwand;1200
415;Planen und Bauen;Baurechtliche Verfahren;Versorgungsaufwendungen;2018;Aufwand;1800
416;Planen und Bauen;Baurechtliche Verfahren;Dienstbezüge;2018;Aufwand;2500
417;Planen und Bauen;Baurechtliche Verfahren;Versorgungskasse Arbeitnehmer;2018;Aufwand;3700
418;Planen und Bauen;Baurechtliche Verfahren;Sozialversicherung Arbeitnehmer;2018;Aufwand;9500
419;Planen und Bauen;Baurechtliche Verfahren;Vergütungen;2018;Aufwand;48000
420;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Auflösung von Rückstellungen;2018;Ertrag;110
421;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Pauschalierte Lohnsteuer;2018;Aufwand;50
422;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Zuf. Beihilferückstellungen;2018;Aufwand;100
423;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Leistungszulagen;2018;Aufwand;110
424;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Versorgungskasse Beamte;2018;Aufwand;250
425;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Versorgungskasse Arbeitnehmer;2018;Aufwand;400
426;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Beihilfen;2018;Aufwand;500
427;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Zuf. Pensionsrückstellungen;2018;Aufwand;600
428;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Versorgungsaufwendungen;2018;Aufwand;900
429;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Sozialversicherung Arbeitnehmer;2018;Aufwand;1100
430;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Dienstbezüge;2018;Aufwand;1300
431;Planen und Bauen;Bodenordnung und Liegenschaftskataster;Vergütungen;2018;Aufwand;5200
432;Planen und Bauen;Freibad Sprendlingen;Abschreibungen auf immaterielles Vermögen;2018;Aufwand;200
433;Planen und Bauen;Gewässerunterhaltung;Auflösung von Sonderposten;2018;Ertrag;4300
434;Planen und Bauen;Gewässerunterhaltung;Pauschalierte Lohnsteuer;2018;Aufwand;50
435;Planen und Bauen;Gewässerunterhaltung;Leistungszulagen;2018;Aufwand;130
436;Planen und Bauen;Gewässerunterhaltung;Versorgungskasse Arbeitnehmer;2018;Aufwand;500
437;Planen und Bauen;Gewässerunterhaltung;Versicherungsbeiträge;2018;Aufwand;700
438;Planen und Bauen;Gewässerunterhaltung;Sozialversicherung Arbeitnehmer;2018;Aufwand;1300
439;Planen und Bauen;Gewässerunterhaltung;Abschreibungen auf Infrastrukturvermögen;2018;Aufwand;5400
440;Planen und Bauen;Gewässerunterhaltung;Vergütungen;2018;Aufwand;6500
441;Planen und Bauen;Gewässerunterhaltung;Unterhaltung Gewässer 3. Ordnung;2018;Aufwand;50000
442;Planen und Bauen;Kaufm. Gebäudemanagement;Auflösung von Rückstellungen;2018;Ertrag;250
443;Planen und Bauen;Kaufm. Gebäudemanagement;Zuführung zu Pensionsrückstellungen;2018;Aufwand;150
444;Planen und Bauen;Kaufm. Gebäudemanagement;Leistungszulagen;2018;Aufwand;900
445;Planen und Bauen;Kaufm. Gebäudemanagement;Beihilfen;2018;Aufwand;1000
446;Planen und Bauen;Kaufm. Gebäudemanagement;Versorgungsaufwendungen Beamte;2018;Aufwand;3300
447;Planen und Bauen;Kaufm. Gebäudemanagement;Versorgungskasse Arbeitnehmer;2018;Aufwand;3400
448;Planen und Bauen;Kaufm. Gebäudemanagement;Betriebs- und Geschäftsausstattung;2018;Aufwand;3500
449;Planen und Bauen;Kaufm. Gebäudemanagement;Sozialversicherung Arbeitnehmer;2018;Aufwand;8400
450;Planen und Bauen;Kaufm. Gebäudemanagement;Vergütungen;2018;Aufwand;43300
451;Planen und Bauen;Klimaschutz/Energieberatung;Sonstige laufende Erträge;2018;Ertrag;2000
452;Planen und Bauen;Klimaschutz/Energieberatung;Zuweisungen vom Bund;2018;Ertrag;53500
453;Planen und Bauen;Klimaschutz/Energieberatung;Fachliteratur, Zeitschriften;2018;Aufwand;300
454;Planen und Bauen;Klimaschutz/Energieberatung;Abschreibungen auf BGA;2018;Aufwand;400
455;Planen und Bauen;Klimaschutz/Energieberatung;Pauschalierte Lohnsteuer;2018;Aufwand;400
456;Planen und Bauen;Klimaschutz/Energieberatung;Büromaterial;2018;Aufwand;500
457;Planen und Bauen;Klimaschutz/Energieberatung;Geringswertige Wirtschaftsgüter;2018;Aufwand;500
458;Planen und Bauen;Klimaschutz/Energieberatung;Unterhaltung BGA;2018;Aufwand;500
459;Planen und Bauen;Klimaschutz/Energieberatung;Telefon, Datenübertragung;2018;Aufwand;850
460;Planen und Bauen;Klimaschutz/Energieberatung;Reisekosten;2018;Aufwand;1500
461;Planen und Bauen;Klimaschutz/Energieberatung;Leistungszulagen;2018;Aufwand;1900
462;Planen und Bauen;Klimaschutz/Energieberatung;Aus- und Fortbildung;2018;Aufwand;3000
463;Planen und Bauen;Klimaschutz/Energieberatung;Öffentlichkeitsarbeit;2018;Aufwand;5000
464;Planen und Bauen;Klimaschutz/Energieberatung;Geschäftsaufwendungen Projekt Wir wollen mehr;2018;Aufwand;6300
465;Planen und Bauen;Klimaschutz/Energieberatung;Versorgungskasse Arbeitnehmer;2018;Aufwand;7500
466;Planen und Bauen;Klimaschutz/Energieberatung;Sonstige Geschäftsaufwendungen;2018;Aufwand;10000
467;Planen und Bauen;Klimaschutz/Energieberatung;Mieten ;2018;Aufwand;16500
468;Planen und Bauen;Klimaschutz/Energieberatung;Sozialversicherung Arbeitnehmer;2018;Aufwand;18500
469;Planen und Bauen;Klimaschutz/Energieberatung;Förderprogramm enerrgetische Sanierung;2018;Aufwand;20000
470;Planen und Bauen;Klimaschutz/Energieberatung;Vergütungen;2018;Aufwand;93000
471;Planen und Bauen;Liegenschaften;Mieten und Pachten;2018;Ertrag;3500
472;Planen und Bauen;Liegenschaften;Sonstige laufende Aufwendungen;2018;Aufwand;100
473;Planen und Bauen;Liegenschaften;Gebäudeunterhaltung;2018;Aufwand;200
474;Planen und Bauen;Liegenschaften;Versicherungen;2018;Aufwand;400
475;Planen und Bauen;Liegenschaften;Aufwendungen f. Energie, Wasser/Abwasser etc.;2018;Aufwand;450
476;Planen und Bauen;Liegenschaften;Abschreibungen bebaute Grundstücke;2018;Aufwand;800
477;Planen und Bauen;Liegenschaften;Steuern und Abgaben;2018;Aufwand;1000
478;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Auflösung von Rückstellungen;2018;Ertrag;4300
479;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Pauschalierte Lohnsteuer;2018;Aufwand;500
480;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Leistungszulagen;2018;Aufwand;2400
481;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Zuf. Beihilferückstellungen;2018;Aufwand;3900
482;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Versorgungskasse Arbeitnehmer;2018;Aufwand;8900
483;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Beihilfen;2018;Aufwand;9000
484;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Versorgungskasse Beamte;2018;Aufwand;9700
485;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Sozialversicherung Arbeitnehmer;2018;Aufwand;23000
486;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Zuf. Pensionsrückstellungen;2018;Aufwand;25200
487;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Versorgungsaufwendungen;2018;Aufwand;36700
488;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Dienstbezüge;2018;Aufwand;53000
489;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Aufwendungen für Sach- und Dienstleistungen;2018;Aufwand;60000
490;Planen und Bauen;Räumliche Planungs- und Entwicklungsarbeit;Vergütungen;2018;Aufwand;116000
491;Planen und Bauen;Sonstige Erholungseinrichtungen;Auflösung von Rückstellungen;2018;Ertrag;550
492;Planen und Bauen;Sonstige Erholungseinrichtungen;Auflösung von Sonderposten;2018;Ertrag;900
493;Planen und Bauen;Sonstige Erholungseinrichtungen;Abschreibungen auf Betriebs- und Geschäftsausstattung;2018;Aufwand;250
494;Planen und Bauen;Sonstige Erholungseinrichtungen;Zuf. Beihilferückstellungen;2018;Aufwand;500
495;Planen und Bauen;Sonstige Erholungseinrichtungen;Versicherungsbeiträge;2018;Aufwand;800
496;Planen und Bauen;Sonstige Erholungseinrichtungen;Beihilfen;2018;Aufwand;1000
497;Planen und Bauen;Sonstige Erholungseinrichtungen;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;1200
498;Planen und Bauen;Sonstige Erholungseinrichtungen;Versorgungskasse Beamte;2018;Aufwand;1200
499;Planen und Bauen;Sonstige Erholungseinrichtungen;Abschreibungen auf Bauten auf fremden Grund;2018;Aufwand;1400
500;Planen und Bauen;Sonstige Erholungseinrichtungen;Gebäudeunterhaltung;2018;Aufwand;1500
501;Planen und Bauen;Sonstige Erholungseinrichtungen;Zuf. Pensionsrückstellungen;2018;Aufwand;3000
502;Planen und Bauen;Sonstige Erholungseinrichtungen;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;3800
503;Planen und Bauen;Sonstige Erholungseinrichtungen;Versorgungsaufwendungen;2018;Aufwand;4500
504;Planen und Bauen;Sonstige Erholungseinrichtungen;Dienstbezüge;2018;Aufwand;6500
505;Planen und Bauen;Techn. Gebäudemanagement;Auflösung von Sonderposten;2018;Ertrag;2300
506;Planen und Bauen;Techn. Gebäudemanagement;Kostenerstattungen von Eigenbetrieben;2018;Ertrag;22500
507;Planen und Bauen;Techn. Gebäudemanagement;Abschreibungen auf Betriebsvorrichtungen;2018;Aufwand;400
508;Planen und Bauen;Techn. Gebäudemanagement;Abschreibungen auf Straßen;2018;Aufwand;400
509;Planen und Bauen;Techn. Gebäudemanagement;Pauschalierte Lohnsteuer;2018;Aufwand;500
510;Planen und Bauen;Techn. Gebäudemanagement;Abschreibungen auf BGA;2018;Aufwand;600
511;Planen und Bauen;Techn. Gebäudemanagement;Gebäudeversicherungen;2018;Aufwand;1000
512;Planen und Bauen;Techn. Gebäudemanagement;Reinigung;2018;Aufwand;1000
513;Planen und Bauen;Techn. Gebäudemanagement;Abfallentsorgung;2018;Aufwand;1300
514;Planen und Bauen;Techn. Gebäudemanagement;Unterhaltung BGA;2018;Aufwand;1500
515;Planen und Bauen;Techn. Gebäudemanagement;Gebäudebewirtschaftung;2018;Aufwand;2000
516;Planen und Bauen;Techn. Gebäudemanagement;Geringwertige Wirtschaftsgüter;2018;Aufwand;2000
517;Planen und Bauen;Techn. Gebäudemanagement;Wasser/Abwasser;2018;Aufwand;2000
518;Planen und Bauen;Techn. Gebäudemanagement;Leistungszulagen;2018;Aufwand;2950
519;Planen und Bauen;Techn. Gebäudemanagement;Fahzeugunterhaltung;2018;Aufwand;3500
520;Planen und Bauen;Techn. Gebäudemanagement;Versorgungskasse Arbeitnehmer;2018;Aufwand;11200
521;Planen und Bauen;Techn. Gebäudemanagement;Abschreibungen auf bebaute Grundsücke;2018;Aufwand;11900
522;Planen und Bauen;Techn. Gebäudemanagement;Heizung;2018;Aufwand;15000
523;Planen und Bauen;Techn. Gebäudemanagement;Srom;2018;Aufwand;15000
524;Planen und Bauen;Techn. Gebäudemanagement;Gebäudeunterhaltung;2018;Aufwand;21500
525;Planen und Bauen;Techn. Gebäudemanagement;Sozialversicherung Arbeitnehmer;2018;Aufwand;27600
526;Planen und Bauen;Techn. Gebäudemanagement;Vergütungen;2018;Aufwand;145300
527;Zentraler Service;Behindertenbeirat;Sonstige laufende Aufwendungen;2018;Aufwand;100
528;Zentraler Service;Behindertenbeirat;Aufw. f. Rats- und Ausschussmitglieder;2018;Aufwand;500
529;Zentraler Service;Behindertenbeirat;Reisekosten;2018;Aufwand;500
530;Zentraler Service;Behindertenbeirat;Aufw. f. den/die Vorsitzende/n;2018;Aufwand;2400
531;Zentraler Service;Behindertenbeirat;Sachleistungen;2018;Aufwand;3500
532;Zentraler Service;Datenverarbeitung/EDV;Kostenerstattungen von Zweckverbänden;2018;Ertrag;3000
533;Zentraler Service;Datenverarbeitung/EDV;Kostenerstattungen von Eigenbetrieben;2018;Ertrag;34000
534;Zentraler Service;Datenverarbeitung/EDV;Pauschalierte Lohnsteuer;2018;Aufwand;350
535;Zentraler Service;Datenverarbeitung/EDV;Sonstige laufende Aufwendungen;2018;Aufwand;500
536;Zentraler Service;Datenverarbeitung/EDV;Leistungszulagen;2018;Aufwand;1950
537;Zentraler Service;Datenverarbeitung/EDV;Inanspruchnahme von Rechten und Diensten;2018;Aufwand;2500
538;Zentraler Service;Datenverarbeitung/EDV;Geringwertige Wirtschaftsgüter;2018;Aufwand;3000
539;Zentraler Service;Datenverarbeitung/EDV;Abschreibungen auf immaterielles Vermögen;2018;Aufwand;4600
540;Zentraler Service;Datenverarbeitung/EDV;Unterhaltung BGA;2018;Aufwand;5000
541;Zentraler Service;Datenverarbeitung/EDV;Unterhaltung Hardware;2018;Aufwand;5000
542;Zentraler Service;Datenverarbeitung/EDV;Versorgungskasse Arbeitnehmer;2018;Aufwand;7400
543;Zentraler Service;Datenverarbeitung/EDV;Abschreibungen auf BGA;2018;Aufwand;7500
544;Zentraler Service;Datenverarbeitung/EDV;Sozialversicherung Arbeitnehmer;2018;Aufwand;18200
545;Zentraler Service;Datenverarbeitung/EDV;Unterhaltung Software, Updates;2018;Aufwand;45500
546;Zentraler Service;Datenverarbeitung/EDV;Laufende Lizenzaufwendungen;2018;Aufwand;47000
547;Zentraler Service;Datenverarbeitung/EDV;Vergütungen;2018;Aufwand;95500
548;Zentraler Service;Freibad Sprendlingen;Erstattung von Steuern;2018;Ertrag;10000
549;Zentraler Service;Freibad Sprendlingen;Sonstige Erträge;2018;Ertrag;10000
550;Zentraler Service;Freibad Sprendlingen;Reisekosten;2018;Aufwand;500
551;Zentraler Service;Freibad Sprendlingen;Abschreibungen auf Maschinen, techn. Anlagen;2018;Aufwand;600
552;Zentraler Service;Freibad Sprendlingen;Pauschalierte Lohnsteuer;2018;Aufwand;1400
553;Zentraler Service;Freibad Sprendlingen;Abschreibungen auf BGA;2018;Aufwand;3200
554;Zentraler Service;Freibad Sprendlingen;Abschreibungen auf bebaute Grundstücke;2018;Aufwand;4200
555;Zentraler Service;Freibad Sprendlingen;Abschreibungen auf Betriebsvorrichtungen;2018;Aufwand;4400
556;Zentraler Service;Freibad Sprendlingen;Versorgungskasse Arbeitnehmer;2018;Aufwand;6000
557;Zentraler Service;Freibad Sprendlingen;Sozialversicherung Arbeitnehmer;2018;Aufwand;15000
558;Zentraler Service;Freibad Sprendlingen;Sonstige Aufwendungen;2018;Aufwand;65000
